"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit","Image_Path"
"","Novex Super Curly Leave-in 1kg","Novex ","unit","132",0,"6.3","9.45","1247.399","831.6","56.7","6","18.9","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_super_curly_leave_in_1kg.webp"
"","Novex My Little Curls Shampoo ","Novex ","unit","0",0,"2.25","3.39","0","0",0,0,0,""
"","Novex Mystic Black Condicionador 300ml","Novex ","unit","66",0,"2.25","3.39","223.74","148.5",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_mystic_black_condicionador_300ml.webp"
"","Novex Mystic Black Spray Desembaraçador ","Novex ","unit","0",0,"2.65","3.99","0","0",0,0,0,""
"","Novex Mystec Black Shampoo 300ml","Novex ","unit","30",0,"2.25","3.39","101.7","67.5",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_mystec_black_shampoo_300ml.webp"
"","Novex Mystic Black Leave-In","Novex ","unit","60",0,"4.2","6.3","378","252",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_mystic_black_leave_in.webp"
"","Novex Mascara tratamento Keratina 400g ","Novex ","unit","210",0,"2.4","3.6","756","504",0,0,0,""
"178986029621","Vita Seiva Óleo de Alho c/12","Vita Seiva","unit","4",0,"31.49","31.49","125.96","125.96",0,0,0,""
"","Panela de pressão Uniware 11 litros","Panelas","unit","0",0,"36.5","56.75","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\panela_de_press_o_uniware_11_litros.webp"
"6001087364669","Axe Desodorante Musk spray c/12 150ml","Desodorante ","unit","12",0,"22","33","396","264",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\axe_desodorante_musk_spray_c_12_150ml.webp"
