"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit"
"","Halls Extra Strong Menthol Lozenges","Farmácia","unit","11",0,"13.5","18.9","207.899","148.5","170.1","9","48.6"
"","Escova de Boldo Para Cabelo c/12","","unit","20",0,"4.75","7.15","143","95",0,0,0
"","Velas de Aniversario Sortidas c/24 unidades","Diversos","unit","20",0,"5.72","7.99","159.8","114.399",0,0,0
"","Gillette Blue II Plus Disposable Razors c/12","Higiene Pessoal","unit","9",0,"10.5","14.95","134.549","94.5","29.9","2","8.9"
"","Halls Strawberry Flavor Menthol Cough Suppressant Drops","Farmácia","unit","5",0,"13.5","18.9","94.5","67.5","18.9","1","5.4"
"","Halls Relief Mentho-Lyptus Flavor Cough Suppressant Drops c/20","Farmácia","unit","8",0,"13.5","18.9","151.2","108","18.9","1","5.4"
"","Reynolds Wrap Aluminum Foil 25 Sq Ft - c/12","","unit","6",0,"21","29.9","179.399","126","29.9","1","8.9"
"","Colgate Creme Dental Triple Action  2.5oz c/12","Higiene Pessoal","unit","25",0,"10.45","16.45","411.25","261.25","32.9","2","12"
"","Emergen-C 1000mg Vitamin C Tangerine c/30","","unit","14",0,"10.5","15.75","220.5","147","47.25","3","15.75"
"","Halls Mentho-Lyptus Honey Lemon Cough Drops c/20","Farmácia","unit","7",0,"13.5","18.9","132.299","94.5","56.7","3","16.2"
"","ChapStick Classic Original Lip Balm 12-Count","Higiene Pessoal","unit","13",0,"15.25","21.9","284.7","198.25","43.8","2","13.3"
"","Dove Spray Care Go Fresh Passion Fruit & Lemongrass 250ml c/12","Desodorante","unit","0",0,"34","48.9","0","0","293.4","6","89.4"
"","Dove Spray Care Coconut & Jasmine Flower /250mL c/12","Desodorante","unit","9",0,"34","48.9","440.099","306","440.1","9","134.1"
"","Dove Spray Go Fresh Pear & Aloe Vera 250mL c/12","Desodorante","unit","0",0,"34","48.9","0","0","244.5","5","74.5"
"","Estomazil Guaraná","Farmácia","unit","5",0,"72","99.9","499.5","360","399.6","4","111.6"
"","Baldoni Própolis  e Gengibre Spray c/12","","unit","10",0,"48","69","690","480","138","2","42"
"","Baldoni Própolis e Romã c/12","","unit","11",0,"48","69","759","528","46","1","-2"
"","Buprovil Ibuprofeno 100mg/mL 20mL","Farmácia","unit","13",0,"80","12.9","167.700","1040","90.3","7","-469.7"
"","Ideal Essência de Eucalipto 100ml. C/12","Ideal","unit","5",0,"55.24","75.49","377.45","276.2",0,0,0
"","Rapé Tupi Real Latinha","","unit","28",0,"20","30","840","560","420","14","140"
"","Rapé Tupi Cravo Latinha","","unit","28",0,"20","30","840","560","420","14","140"
"","Rapé Tupi Imburana latinha","","unit","33",0,"20","30","990","660","270","9","90"
"","Fumo Sabiá ","","unit","50",0,"80","115","5750","4000",0,0,0
"","Ambroxmel Própolis Spray c/12","","unit","0",0,"48","69","0","0","138","2","42"
"","Rapé Xingú Ryal Cacau","","unit","20",0,"20","30","600","400","150","5","50"
"","Rapé Xingu Imbuana da Mata","","unit","0",0,"20","30","0","0",0,0,0
"","Rapé Xingú Mentolado","","unit","0",0,"20","30","0","0","60","2","20"
"","Rapé Xingú Morango","","unit","0",0,"20","30","0","0","90","3","30"
